Concurso;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6;bola 7;bola 8;bola 9;bola 10;bola 11;bola 12;bola 13;bola 14;bola 15
1519;23;18;24;21;17;22;1;16;6;20;13;8;4;14;25
1518;12;2;7;3;11;20;24;4;14;17;25;16;5;22;8
1517;25;3;18;23;5;12;11;2;8;21;15;24;10;14;20
1516;18;11;24;14;12;1;16;2;23;19;10;22;7;20;6
1515;3;1;19;12;9;5;13;11;17;20;16;23;8;18;2
1514;11;21;20;8;19;16;3;4;24;5;13;15;12;17;7
1513;18;6;16;24;4;9;11;22;10;3;13;12;21;14;7
1512;3;21;22;16;17;15;13;12;19;2;6;4;24;10;11
1511;23;9;12;11;24;2;8;21;20;10;5;4;19;15;13
1510;15;3;7;11;13;12;18;24;10;4;8;9;22;1;19
1509;22;2;24;3;17;14;15;19;7;8;6;13;1;18;9
1508;7;23;3;22;14;9;24;11;19;10;8;17;1;21;12
1507;5;14;10;11;17;4;19;13;24;3;1;8;23;2;21
1506;3;13;5;8;22;10;19;9;14;17;24;4;21;18;20
1505;7;25;16;2;24;19;20;11;3;1;6;14;22;18;17
1504;11;25;24;21;18;19;23;7;8;17;1;12;14;5;4
1503;22;12;7;3;16;17;2;21;20;25;18;23;15;1;24
1502;4;18;22;3;17;13;15;11;24;2;12;5;20;7;1
1501;10;1;8;6;13;25;9;21;22;7;11;17;16;24;18
1500;3;13;2;22;7;15;20;5;10;1;17;11;18;12;19
1499;15;23;12;2;4;5;3;14;13;24;18;8;7;1;19
1498;16;25;14;17;7;23;10;5;15;18;11;4;21;8;24
1497;22;5;12;7;11;2;19;14;13;18;23;17;1;15;16
1496;7;13;9;25;23;17;3;10;2;19;6;20;15;11;12
1495;13;23;24;5;3;22;10;2;18;4;14;25;8;1;12
1494;2;9;13;11;3;20;19;4;25;15;10;22;12;17;1
1493;10;19;14;24;25;21;2;13;20;11;16;23;5;15;8
1492;15;3;5;25;8;4;19;18;12;10;16;24;7;17;2
1491;20;14;2;13;23;9;19;11;5;7;25;6;24;4;22
1490;5;22;19;4;20;15;11;9;18;7;3;1;14;8;13
1489;25;12;14;22;20;19;2;7;9;15;23;4;8;10;13
1488;19;23;21;11;25;24;10;6;20;5;12;1;4;13;16
1487;21;15;3;19;25;5;22;6;4;12;1;2;11;10;16
1486;22;9;8;18;14;12;2;21;25;4;5;10;23;20;19
1485;5;24;17;1;11;2;15;23;13;18;3;25;9;19;8
1484;17;2;6;18;22;7;21;19;3;25;4;1;9;12;10
1483;6;3;20;5;17;21;9;15;14;13;11;7;23;4;22
1482;12;23;7;2;9;8;11;24;1;4;15;10;19;5;14
1481;25;11;23;7;2;20;18;8;9;3;24;21;17;19;5
1480;6;25;16;10;12;22;11;20;1;7;13;21;17;15;19
1479;13;15;18;22;3;9;17;5;23;6;14;20;16;2;11
1478;6;21;12;15;25;19;7;10;17;11;2;24;16;5;18
1477;21;23;7;4;5;2;10;3;1;12;22;15;17;6;18
1476;4;14;19;9;10;13;16;7;25;21;2;6;12;5;22
1475;24;15;18;13;2;20;3;1;21;9;6;10;25;12;5
1474;8;20;7;1;18;15;14;2;13;19;21;5;10;11;25
1473;20;4;8;7;12;14;25;22;23;16;5;10;1;9;24
1472;14;18;8;10;4;24;22;13;7;12;2;5;23;3;21
1471;8;18;13;4;10;7;15;6;22;11;2;21;20;1;24
1470;14;21;23;3;12;18;24;7;22;15;20;13;11;8;2
1469;5;16;6;3;8;11;7;9;2;13;20;19;18;1;17
1468;20;19;5;13;12;3;23;8;24;21;18;14;6;11;2
1467;9;10;25;20;19;22;12;21;6;4;1;5;24;11;23
1466;10;12;3;6;14;11;24;2;21;23;19;20;25;22;4
1465;24;12;19;10;8;16;23;9;22;21;5;7;20;14;2
1464;23;11;9;12;16;17;24;13;4;15;14;18;10;1;22
1463;23;7;11;20;10;4;22;15;6;17;19;13;3;24;14
1462;9;14;17;12;1;21;3;7;20;4;16;5;25;13;24
1461;9;10;21;24;5;4;17;2;19;18;25;15;6;23;11
1460;17;16;11;7;18;14;20;3;21;1;19;5;15;24;25
1459;12;6;14;16;25;1;18;13;24;4;19;9;17;10;20
1458;20;11;17;18;7;3;1;22;24;19;9;5;2;23;14
1457;14;23;8;15;4;2;9;1;18;10;3;13;7;24;11
1456;8;13;20;6;25;19;15;12;1;7;2;14;24;9;21
1455;15;23;20;2;17;21;16;14;7;5;19;18;22;8;25
1454;10;22;1;25;3;18;21;19;13;14;12;4;23;20;7
1453;2;8;13;15;1;24;19;25;5;23;16;14;21;9;10
1452;8;25;17;2;10;11;7;14;20;24;13;21;5;15;23
1451;5;24;3;12;13;14;20;23;25;19;10;21;1;15;2
1450;13;16;20;5;14;17;8;24;2;19;4;22;1;10;9
1449;23;7;6;20;4;9;16;8;3;22;11;15;5;1;24
1448;23;24;5;21;1;19;4;18;6;13;8;3;22;12;16
1447;25;5;13;17;4;21;19;3;24;12;22;8;11;1;18
1446;13;22;17;4;21;25;23;20;12;24;1;16;8;7;6
1445;8;6;15;20;13;4;5;1;18;25;23;16;17;10;22
1444;24;18;6;10;2;17;4;9;11;20;5;21;14;1;15
1443;16;10;7;2;17;1;8;14;11;5;24;9;12;15;3
1442;1;12;15;16;20;11;9;21;3;2;19;13;7;17;4
1441;22;9;1;16;6;5;4;11;19;10;25;13;23;3;7
1440;12;3;20;22;17;18;8;10;21;25;14;2;13;24;16
1439;14;12;11;5;3;15;16;2;22;24;17;19;1;18;13
1438;1;10;8;21;4;24;11;17;15;14;7;9;20;12;22
1437;7;9;19;4;6;25;2;8;11;23;14;5;20;13;17
1436;5;6;19;3;23;24;2;1;8;18;11;22;12;17;15
1435;4;17;5;20;1;10;6;16;2;19;23;3;9;21;12
1434;4;13;6;3;5;9;7;22;18;24;23;10;12;19;15
1433;16;14;23;9;22;6;20;12;15;25;3;7;10;24;18
1432;25;17;4;24;18;11;23;12;3;1;16;5;20;21;10
1431;16;14;9;8;19;20;10;23;12;2;1;15;25;7;17
1430;1;20;4;16;23;8;21;7;22;13;5;25;3;9;15
1429;15;19;25;20;14;13;16;18;8;9;7;10;5;12;21
1428;22;13;17;2;6;9;5;18;3;8;21;20;4;25;19
1427;18;17;15;1;14;16;20;2;25;12;11;22;10;19;7
1426;10;2;14;16;4;3;18;23;8;12;22;7;15;25;24
1425;16;9;3;11;4;13;5;14;12;21;1;19;20;8;25
1424;11;2;20;13;18;25;4;17;5;23;21;10;8;6;9
1423;2;7;19;8;1;13;12;11;4;22;15;23;16;5;14
1422;11;16;14;15;7;19;22;5;13;17;23;10;4;24;1
1421;6;24;9;19;18;3;11;7;20;17;5;8;12;23;14
1420;13;6;1;15;16;25;17;4;22;14;8;10;23;7;20
1419;7;18;23;15;6;16;12;17;21;24;3;19;20;11;2
1418;21;2;13;14;9;6;11;23;20;15;4;18;10;22;17
1417;4;19;11;14;1;7;13;15;3;9;2;6;18;22;23
1416;8;14;12;15;7;17;18;20;10;24;4;9;5;19;3
1415;25;18;6;17;24;13;19;2;12;4;23;15;10;22;5
1414;3;4;11;13;23;2;9;7;20;14;21;10;5;16;17
1413;17;5;16;4;2;6;9;10;13;21;18;3;7;8;25
1412;18;5;11;22;15;24;16;21;23;7;25;19;13;6;9
1411;9;5;13;23;1;17;21;14;8;12;16;7;10;6;15
1410;9;7;23;4;2;5;6;10;15;16;17;20;21;3;14
1409;4;17;7;8;2;6;14;1;12;16;25;22;11;24;19
1408;13;1;3;24;10;19;14;23;12;21;25;22;5;11;8
1407;5;24;20;10;25;1;6;22;2;12;13;23;7;4;21
1406;15;24;13;6;5;9;2;21;4;22;20;25;3;11;19
1405;24;9;20;11;18;23;14;19;4;2;10;15;16;3;7
1404;22;25;1;2;3;16;15;18;21;13;19;10;4;8;11
1403;17;21;5;16;8;11;23;4;15;12;25;13;3;9;10
1402;3;19;2;15;14;8;11;21;9;5;16;23;12;4;20
1401;4;8;22;25;21;14;3;24;1;5;19;7;15;6;18
1400;19;21;23;9;22;2;12;25;24;3;10;5;6;16;1
1399;12;25;9;4;6;21;8;19;13;24;22;5;15;14;17
1398;24;8;5;16;14;21;7;11;15;20;4;25;19;6;1
1397;11;1;25;18;13;22;14;21;6;9;8;3;12;5;4
1396;13;17;23;12;25;20;7;22;3;18;19;24;10;6;5
1395;17;22;16;12;23;25;6;13;19;8;7;18;11;5;14
1394;9;11;15;5;23;3;4;18;19;10;16;6;21;22;14
1393;9;3;11;20;22;23;13;14;10;7;18;5;17;12;4
1392;14;9;3;15;21;16;8;18;25;2;22;1;17;20;4
1391;3;15;16;21;5;24;1;25;19;11;6;10;12;20;17
1390;14;3;15;5;20;18;13;6;7;16;8;11;21;17;23
1389;20;8;15;2;18;17;6;5;1;10;12;4;14;16;21
1388;25;11;10;15;5;19;8;12;3;21;7;18;1;23;20
1387;16;24;4;11;12;5;7;9;6;14;1;3;18;13;15
1386;9;1;16;22;4;18;7;3;24;17;25;13;2;21;19
1385;19;12;23;18;4;10;17;14;8;9;5;13;20;15;11
1384;11;9;15;12;19;8;18;6;4;3;13;25;22;24;20
1383;22;2;25;15;16;7;8;17;14;24;9;21;13;6;20
1382;24;19;10;21;15;6;16;12;13;20;1;22;17;14;18
1381;18;16;14;9;1;8;21;12;25;19;17;6;10;4;13
1380;15;21;8;3;5;16;25;4;24;6;14;11;22;12;17
1379;17;7;14;2;18;5;10;1;12;4;15;22;21;9;8
1378;19;6;2;25;8;1;20;24;21;10;17;23;3;12;13
1377;10;15;5;19;12;1;6;9;25;13;17;8;20;22;21
1376;12;6;3;15;18;19;22;13;14;16;5;20;24;4;1
1375;18;20;24;15;25;11;14;23;6;9;22;16;1;10;5
1374;9;4;19;23;15;3;2;5;16;6;10;14;20;25;21
1373;5;4;6;18;17;7;3;20;24;8;12;2;21;23;1
1372;23;3;17;13;2;21;9;18;7;16;1;25;15;10;5
1371;25;22;5;15;20;19;3;13;21;24;18;23;17;4;7
1370;11;2;17;24;22;21;18;14;20;5;7;8;13;25;4
1369;18;5;4;11;24;22;10;14;9;12;3;13;16;17;21
1368;23;16;24;20;18;7;10;5;19;25;22;11;8;14;12
1367;14;7;23;4;2;5;3;6;20;15;17;18;16;9;24
1366;15;24;8;21;22;9;12;14;25;13;16;10;11;17;4
1365;22;25;23;15;21;19;6;14;12;2;24;3;20;9;10
1364;6;17;22;15;9;13;10;12;20;18;16;25;24;1;11
1363;12;7;14;16;15;17;5;10;19;20;22;13;21;9;23
1362;13;6;9;22;12;1;4;3;25;21;24;11;10;23;16
1361;5;14;11;19;4;25;18;15;20;12;23;17;13;1;16
1360;14;5;24;6;12;20;4;11;10;8;2;3;18;23;1
1359;18;11;9;13;5;3;17;7;14;8;15;16;20;23;21
1358;2;23;8;15;1;3;6;20;22;4;13;18;9;17;19
1357;22;9;21;7;12;15;23;13;3;17;10;11;18;20;8
1356;11;6;15;12;20;8;3;16;14;19;4;13;17;10;9
1355;2;4;7;15;20;16;24;3;21;1;22;8;18;6;11
1354;1;12;20;9;7;11;3;2;24;13;21;15;18;5;14
1353;14;8;21;24;5;18;3;9;25;10;23;12;22;11;7
1352;16;11;15;19;24;13;20;6;25;10;23;8;14;21;12
1351;7;13;6;25;23;17;2;24;10;21;20;11;4;22;19
1350;9;23;11;19;12;20;8;6;21;13;18;1;5;16;14
1349;12;18;16;7;5;19;14;2;25;4;3;6;8;21;24
1348;7;24;8;14;15;21;1;18;2;20;6;22;25;9;10
1347;3;8;6;14;20;13;7;23;17;24;12;1;18;10;5
1346;19;10;2;18;3;8;14;15;7;23;5;21;20;25;11
1345;10;14;3;15;22;11;7;1;19;24;21;25;9;8;17
1344;6;17;25;21;8;18;23;11;13;2;7;10;4;24;12
1343;5;15;10;16;13;17;23;9;19;11;14;4;24;21;2
1342;12;21;5;23;10;13;1;24;25;9;15;3;2;20;11
1341;24;21;3;16;10;1;23;8;20;4;17;14;9;15;13
1340;10;13;16;9;19;5;18;4;12;7;14;17;22;1;2
1339;11;8;24;13;14;3;16;5;2;21;23;4;6;7;20
1338;16;7;6;17;1;13;14;4;10;19;11;3;15;12;2
1337;6;23;5;10;13;3;16;12;21;8;1;25;19;9;15
1336;6;9;20;12;19;10;14;13;8;24;15;18;11;17;22
1335;3;10;18;11;17;23;24;1;9;7;6;4;16;25;13
1334;10;15;11;4;19;3;9;17;18;21;13;16;6;22;7
1333;10;17;9;20;22;8;3;5;11;4;24;18;7;14;12
1332;21;16;11;13;18;8;24;12;4;14;6;20;5;15;1
1331;1;5;11;23;10;6;25;16;7;24;2;15;14;18;3
1330;17;20;10;5;12;23;22;24;4;25;16;18;19;13;7
1329;23;3;2;15;4;11;25;18;10;13;5;16;24;22;7
1328;16;15;10;5;22;23;24;13;21;8;6;9;25;2;17
1327;3;7;16;25;20;23;10;22;1;5;18;17;4;14;13
1326;9;6;21;17;22;25;1;24;8;3;4;10;19;20;18
1325;21;18;9;10;2;7;5;14;3;20;15;6;16;25;19
1324;4;11;1;10;8;19;18;24;21;13;17;6;25;5;7
1323;19;23;6;5;1;11;4;14;20;9;10;13;21;17;22
1322;21;9;15;25;6;7;18;8;24;17;16;2;13;11;1
1321;4;20;10;3;23;6;13;24;9;11;14;2;18;7;19
1320;17;5;16;22;23;4;11;21;9;12;15;3;13;2;25
1319;5;19;15;14;22;25;6;11;9;3;17;23;8;10;13
1318;12;23;17;8;14;6;9;4;1;3;13;2;20;7;15
1317;25;9;1;11;8;10;3;16;24;7;20;23;22;5;14
1316;20;12;23;25;1;24;6;17;2;4;3;19;5;15;11
1315;12;19;23;11;5;18;1;8;4;3;2;25;16;10;14
1314;14;24;19;16;10;22;25;18;5;15;8;11;3;21;9
1313;25;8;17;23;24;10;21;22;20;1;4;16;13;15;11
1312;25;18;4;11;19;1;20;2;9;6;13;24;23;7;5
1311;10;12;17;5;11;3;18;14;6;15;20;25;8;2;23
1310;23;19;10;4;17;8;18;15;5;1;21;7;3;2;11
1309;19;13;12;24;4;14;16;5;10;18;2;6;25;8;20
1308;16;11;6;19;17;14;9;22;25;8;20;7;23;5;3
1307;15;10;13;18;14;8;23;20;6;3;21;16;12;4;9
1306;2;22;13;15;14;6;9;23;19;18;5;20;1;7;12
1305;13;7;4;15;20;12;17;8;2;6;25;23;11;5;3
1304;8;20;13;10;18;7;1;19;25;2;17;11;14;21;3
1303;8;1;19;18;11;15;22;5;20;9;23;13;14;16;10
1302;22;12;3;20;14;17;9;16;13;25;18;4;6;11;15
1301;24;1;25;7;19;4;14;6;10;9;22;3;16;17;2
1300;25;10;24;14;9;15;13;23;20;11;6;18;2;12;7
1299;8;20;5;13;23;3;22;1;11;25;18;17;19;7;21
1298;24;4;25;20;6;18;22;12;17;9;23;3;2;21;7
1297;6;11;18;12;9;8;22;1;5;17;10;19;2;16;7
1296;23;7;18;10;20;15;17;9;5;14;11;25;19;16;21
1295;10;11;12;19;24;15;6;18;25;9;23;14;17;13;3
1294;13;8;16;18;12;14;11;20;2;23;5;7;25;10;6
1293;22;24;20;11;17;9;1;2;7;13;18;15;12;8;10
1292;23;24;17;8;2;25;10;22;15;1;3;7;11;19;14
1291;24;15;19;10;21;18;12;16;6;20;8;11;1;13;7
1290;25;23;11;16;3;13;6;14;20;4;21;5;22;1;19
1289;2;7;25;1;22;17;18;24;13;8;5;11;15;16;20
1288;13;5;20;2;18;24;23;1;9;10;19;25;16;15;17
1287;22;21;24;4;13;19;11;3;9;25;6;5;17;18;23
1286;23;12;21;16;11;20;19;10;1;4;3;25;17;7;5
1285;7;15;18;6;16;1;24;17;10;12;25;20;11;22;2
1284;13;23;18;16;8;17;11;5;10;7;22;25;20;2;4
1283;13;17;18;16;8;10;15;9;22;7;12;2;23;6;11
1282;21;7;12;6;11;19;20;17;5;14;10;9;22;25;23
1281;23;13;3;24;21;22;5;12;6;15;9;25;19;1;8
1280;19;25;23;22;14;7;24;3;17;1;11;5;9;15;4
1279;8;16;21;12;14;18;3;9;11;4;19;1;23;7;13
1278;21;24;18;19;20;7;22;9;4;16;17;15;10;6;12
1277;18;22;4;17;25;3;12;13;21;15;9;6;2;1;10
1276;19;14;21;3;22;16;15;23;18;7;1;5;10;12;24
1275;14;17;18;7;13;15;20;6;16;23;8;11;10;25;3
1274;18;25;14;22;1;15;7;20;8;3;13;11;10;12;19
1273;1;18;22;8;13;3;6;24;5;15;14;11;12;20;19
1272;21;15;4;14;9;25;20;18;23;10;17;1;24;19;7
1271;8;25;2;6;14;13;24;4;17;12;1;23;9;11;18
1270;5;3;23;8;25;2;10;1;13;11;6;4;21;9;20
1269;11;14;22;7;13;5;17;18;21;23;8;4;16;20;1
1268;18;1;11;7;21;24;13;15;3;2;8;22;17;12;6
1267;18;7;5;3;17;12;9;6;15;2;16;22;25;13;11
1266;20;15;23;8;3;11;6;14;13;2;1;5;24;9;10
1265;25;13;23;4;16;22;1;11;3;14;19;15;7;2;24
1264;23;4;11;12;22;25;5;14;8;1;21;17;24;10;18
1263;9;8;20;22;11;16;12;5;23;13;4;3;25;18;10
1262;22;4;12;11;23;1;21;6;24;16;13;3;17;20;8
1261;5;17;12;25;20;4;18;10;21;16;19;15;7;1;22
1260;6;15;4;24;2;22;7;18;14;11;20;3;1;5;17
1259;18;20;23;13;2;17;9;5;10;14;8;22;19;16;25
1258;6;2;10;21;4;20;9;13;12;8;3;5;23;25;14
1257;1;10;13;19;8;2;22;6;20;14;12;5;11;25;16
1256;13;11;6;18;19;23;1;15;12;22;8;10;2;14;16
1255;14;13;2;6;4;25;16;1;9;21;20;7;23;18;10
1254;17;14;15;22;16;8;9;21;11;23;2;20;12;18;3
1253;16;20;1;18;15;7;3;23;11;2;6;25;24;5;22
1252;10;21;12;3;9;24;23;4;1;15;5;11;20;8;6
1251;25;21;10;6;14;8;16;15;9;17;20;2;23;7;19
1250;25;24;10;15;5;9;19;3;17;2;7;18;14;20;4
1249;18;14;5;19;9;25;12;3;13;22;24;4;15;6;20
1248;22;19;17;24;15;20;1;5;25;13;12;10;16;11;3
1247;11;24;19;15;25;20;3;9;8;16;7;2;17;18;23
1246;19;24;8;18;13;10;17;22;7;1;12;16;9;4;25
1245;21;6;25;16;5;9;18;19;3;11;8;15;17;4;2
1244;16;19;10;7;17;3;12;13;1;23;11;21;5;9;25
1243;4;25;17;14;5;1;8;2;16;15;13;12;22;24;6
1242;24;14;20;1;7;15;16;5;4;25;2;19;23;11;21
1241;1;10;25;9;15;4;17;8;11;5;12;20;24;22;13
1240;18;22;13;24;16;1;20;5;6;4;9;19;12;2;3
1239;14;24;16;12;9;15;10;18;8;11;20;6;22;13;5
1238;17;14;5;15;18;11;2;9;13;16;3;21;25;8;7
1237;22;12;24;3;14;25;21;8;6;10;5;9;7;18;13
1236;2;9;25;23;6;5;1;3;11;17;19;12;10;7;13
1235;13;12;6;4;10;24;11;2;18;20;17;15;3;1;9
1234;10;18;1;19;24;2;17;5;25;14;9;16;20;21;8
1233;16;5;1;9;4;15;18;25;17;23;22;19;14;10;13
1232;15;25;5;24;13;23;3;10;6;19;9;16;14;21;2
1231;22;7;12;1;13;25;3;20;5;4;15;8;16;21;18
1230;19;17;8;11;21;7;12;5;6;18;1;10;13;2;3
1229;14;17;20;7;3;25;19;5;8;22;2;6;1;24;13
1228;7;9;4;12;3;10;1;2;17;23;6;22;24;13;20
1227;25;10;11;21;14;1;19;7;9;13;12;8;2;17;22
1226;8;23;24;10;7;15;22;14;1;11;19;21;5;17;3
1225;24;20;2;5;15;7;3;23;17;25;18;14;13;11;21
1224;19;8;2;12;1;15;18;4;14;5;16;6;17;11;9
1223;22;18;21;14;20;6;8;17;23;7;10;2;16;9;13
1222;9;4;13;15;2;20;8;5;22;24;3;11;10;1;17
1221;10;22;3;24;18;19;15;2;12;6;9;23;14;4;21
1220;23;3;20;18;7;14;4;6;13;17;25;19;5;2;9
1219;5;23;6;8;25;22;10;9;2;14;3;16;4;19;20
1218;11;2;21;5;13;18;3;7;9;14;23;10;20;4;1
1217;12;10;11;13;17;1;9;19;25;3;8;20;7;6;24
1216;18;15;2;17;10;24;14;20;1;21;22;12;3;23;7
1215;14;21;15;18;20;3;9;24;13;22;12;17;7;11;16
1214;23;19;20;13;4;21;5;2;7;9;18;1;14;3;8
1213;25;17;10;20;7;5;18;9;14;24;8;3;2;6;23
1212;9;2;17;1;6;7;18;24;3;20;10;8;5;16;15
1211;17;2;7;23;3;16;10;11;20;24;12;15;5;1;13
1210;13;22;25;19;21;11;15;20;1;2;16;8;10;18;4
1209;9;4;5;19;3;14;15;18;20;7;10;24;8;16;11
1208;20;14;19;15;25;5;24;22;10;3;1;11;4;18;2
1207;21;3;13;9;15;12;1;11;19;18;14;24;10;4;7
1206;11;7;1;21;23;25;15;5;3;24;14;22;18;13;10
1205;18;11;20;25;3;8;1;17;21;24;22;12;9;14;6
1204;9;22;15;23;1;5;20;12;2;21;19;8;13;7;16
1203;2;23;6;1;17;24;12;11;5;25;14;3;13;22;15
1202;10;4;17;2;3;18;23;16;8;25;24;14;13;20;19
1201;22;16;19;9;10;25;14;20;11;21;24;18;23;6;5
1200;16;6;10;14;8;22;7;5;11;12;24;25;4;15;3
1199;4;25;2;21;6;1;10;24;22;14;15;5;16;3;19
1198;23;6;3;1;15;11;7;21;10;4;25;17;9;20;22
1197;17;14;8;13;5;18;4;7;1;24;25;6;20;16;11
1196;12;4;17;9;20;8;23;16;11;1;6;2;7;19;18
1195;10;5;12;11;17;1;22;20;15;6;19;14;25;18;9
1194;23;12;10;2;18;9;8;16;22;19;25;24;15;17;4
1193;1;9;23;25;18;7;4;15;8;14;10;20;19;22;13
1192;15;20;5;16;19;9;21;2;6;12;1;3;13;4;11
1191;18;7;1;24;17;22;10;14;3;2;16;5;25;12;13
1190;23;9;21;17;10;25;14;2;3;4;15;16;22;11;6
1189;12;19;5;25;18;13;4;20;9;8;21;17;14;3;15
1188;2;6;23;5;10;18;24;1;14;8;13;22;20;12;4
1187;22;23;11;16;21;8;12;2;4;19;10;25;7;14;1
1186;14;4;5;24;20;22;6;9;15;23;2;16;11;1;18
1185;25;13;3;24;21;5;9;14;16;6;19;18;22;7;23
1184;6;21;19;25;16;18;4;2;11;14;20;17;12;7;10
1183;16;22;4;20;1;11;14;25;15;13;19;3;18;24;9
1182;21;8;16;6;18;10;20;13;22;7;12;24;25;3;19
1181;23;21;24;9;11;14;20;5;4;8;3;13;7;22;6
1180;9;10;22;11;7;23;2;13;19;6;20;1;14;15;8
1179;9;7;15;5;19;8;20;21;6;1;2;25;3;13;18
1178;20;4;16;19;1;17;11;7;9;18;24;8;23;12;21
1177;9;17;2;10;16;3;11;25;22;12;23;20;8;6;5
1176;5;7;16;19;25;15;12;23;2;20;13;11;3;10;18
1175;8;19;24;15;12;23;21;1;3;25;10;4;14;20;13
1174;5;15;3;11;6;10;1;13;2;23;18;19;9;8;17
1173;21;16;11;9;4;8;22;20;1;2;18;5;19;14;7
1172;24;11;8;20;10;12;25;9;13;23;19;16;6;14;2
1171;17;14;21;8;12;16;18;23;1;13;22;20;11;7;15
1170;10;1;18;4;8;15;13;22;20;2;21;7;16;25;19
1169;22;21;4;15;8;18;9;17;25;12;16;3;24;2;7
1168;16;25;24;4;8;11;19;13;23;1;5;9;7;10;3
1167;23;7;5;2;16;18;4;12;11;15;9;14;8;21;1
1166;19;2;17;14;10;20;21;6;15;12;5;18;24;9;4
1165;18;9;12;21;22;25;3;8;10;19;2;5;15;17;1
1164;4;5;15;20;8;17;10;3;23;21;11;24;13;22;25
1163;24;11;7;13;21;14;12;16;6;9;17;23;19;2;20
1162;19;21;3;13;25;11;15;20;1;18;23;9;7;4;24
1161;2;1;25;22;11;5;19;17;4;18;6;15;8;24;10
1160;7;17;6;4;22;18;10;16;11;5;25;15;8;2;21
1159;15;8;4;24;16;2;22;1;14;6;17;23;9;25;3
1158;3;2;13;15;19;25;16;10;22;20;7;5;17;24;14
1157;2;6;11;8;16;5;18;22;4;21;7;24;13;15;12
1156;3;1;22;15;13;25;21;12;11;24;17;4;14;6;7
1155;22;24;13;12;4;19;18;8;9;3;16;2;25;15;1
1154;3;15;4;25;17;1;11;21;13;16;10;5;24;19;23
1153;3;9;18;6;25;12;2;1;5;24;19;20;13;15;8
1152;10;19;3;18;4;20;22;8;9;16;7;5;25;12;21
1151;11;3;24;7;15;21;12;25;9;22;16;1;14;10;20
1150;12;11;20;13;9;18;7;17;23;22;5;8;24;15;14
1149;21;19;8;2;1;23;18;6;12;7;15;22;10;3;17
1148;5;17;3;24;6;14;19;1;13;16;10;4;18;9;20
1147;12;14;22;11;1;20;18;8;6;15;19;9;16;7;25
